         255434 function calls (248113 primitive calls) in 0.640 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      341    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:420(__exit__)
    45/12    0.000    0.000    0.004    0.000 typing.py:1299(_determine_new_args)
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _char_codes.py:1(<module>)
       54    0.000    0.000    0.004    0.000 <frozen abc>:105(__new__)
       39    0.000    0.000    0.004    0.000 typing.py:514(__getitem__)
      234    0.001    0.000    0.004    0.000 typing.py:262(_collect_parameters)
    45/12    0.000    0.000    0.004    0.000 typing.py:1328(_make_substitution)
       14    0.000    0.000    0.004    0.000 hashlib.py:126(__get_openssl_constructor)
     8628    0.004    0.000    0.004    0.000 _parser.py:240(__next)
      315    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      228    0.001    0.000    0.004    0.000 typing.py:1147(__init__)
       39    0.000    0.000    0.004    0.000 typing.py:746(Literal)
        1    0.000    0.000    0.004    0.004 message.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ipaddress.py:1(<module>)
        6    0.001    0.000    0.004    0.001 getlimits.py:34(__init__)
        2    0.000    0.000    0.004    0.002 hashlib.py:82(__get_builtin_constructor)
4184/4116    0.003    0.000    0.004    0.000 {method 'join' of 'str' objects}
      588    0.001    0.000    0.004    0.000 typing.py:166(_type_convert)
     3124    0.002    0.000    0.004    0.000 {built-in method builtins.setattr}
     3774    0.002    0.000    0.003    0.000 {built-in method builtins.hasattr}
     1860    0.002    0.000    0.003    0.000 typing.py:1134(_is_dunder)
        1    0.000    0.000    0.003    0.003 unix_events.py:1(<module>)
        2    0.000    0.000    0.003    0.002 function_base.py:1(<module>)
        1    0.000    0.000    0.003    0.003 initial_code.py:193(parse_args)
        1    0.000    0.000    0.003    0.003 filepost.py:1(<module>)
        2    0.000    0.000    0.003    0.002 connection.py:1(<module>)
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
       14    0.000    0.000    0.003    0.000 core.py:115(doc_note)
      271    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        1    0.000    0.000    0.003    0.003 poolmanager.py:1(<module>)
      379    0.000    0.000    0.003    0.000 typing.py:723(<genexpr>)
  272/269    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
     6540    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.003    0.003 _common.py:1(<module>)
       53    0.001    0.000    0.003    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.003    0.003 decoder.py:1(<module>)
